-0.06558157	-0.1087816	0.08379896	0.037557904	-0.014407869	-0.031688407	0.055133782	0.08218941	-0.059923045	-0.10229669	0.05720128	0.066146635	-0.014676094	-0.04411303	-0.05847582	-0.16881111
-0.049574245	-0.11476971	0.015923444	0.06394859	0.010473909	-0.055748142	0.023202995	0.018240409	0.04492313	-0.087638624	0.09611374	0.013242299	-0.08055871	-0.05994815	-0.055767298	-0.11156288
-0.10060873	-0.11814406	0.11259016	0.17216107	-0.046773314	-0.13160272	0.14007255	0.0080320425	0.08903962	-0.117639944	0.095153145	-0.06459452	-0.18316124	-0.055507116	-0.14033937	-0.112359725
0.41483566	0.31163722	-0.21204889	-0.38901338	0.33060664	0.40418375	-0.27791235	0.22352047	-0.27867395	0.29986534	0.009712313	-0.29723287	0.43538412	-0.29713687	0.3813417	-0.16465418
0.080837965	0.04522813	0.030471178	-0.014433757	0.08479149	0.090402	-0.02603593	0.047808558	-0.06713972	-0.008087808	0.12186646	-0.1066751	-0.019656716	-0.10670453	-0.015658226	-0.055107266
-0.047243286	-0.0448157	0.00968638	-0.038023192	0.042139433	-0.01736255	0.029311325	0.012703039	-0.055292178	0.0059455764	-0.0066734436	-0.023500878	-0.008475844	-0.01642331	-0.03449347	-0.07912916
0.42608574	0.346864	-0.23347427	-0.35211667	0.3316558	0.34207997	-0.31874776	0.29269144	-0.3101468	0.25423622	-0.17737396	-0.06159096	0.41694972	-0.2832312	0.34415305	-0.29045096
-0.047090624	-0.0125198765	0.01833084	-0.014353395	0.018441176	-0.0016864527	0.011439205	0.0047052586	-0.0484556	-0.0494148	0.026914597	0.020213692	-0.023159837	-0.0898357	0.0031864252	0.0057973033
0.36347517	0.25111946	-0.21255371	-0.29082602	0.2531205	0.28163344	-0.2394354	0.2628238	-0.26057622	0.26203513	-0.109737106	-0.02797802	0.3708227	-0.20467426	0.3088833	-0.16399479
0.0089679845	-0.0073386584	0.022122284	-0.014224723	0.008650337	-0.0014960077	-0.022515869	-0.0037175422	-0.007945499	-0.039560355	0.048121806	0.023782244	0.0151695935	0.0016683142	-0.043872647	-0.051803317
0.3805957	0.28636062	-0.26322982	-0.34165907	0.2592965	0.31540272	-0.2608012	0.3308101	-0.35691044	0.3358341	-0.14233774	-0.027398791	0.37907472	-0.3274593	0.31512576	-0.26423487
-0.14198382	-0.07101591	0.011068517	0.12530632	-0.07352254	-0.04011388	0.08726622	-0.034013577	-0.008928175	-0.031692054	0.019671818	0.049515728	-0.13948974	0.05049234	-0.11557148	-0.05458682
0.26992825	0.20701264	-0.14638273	-0.18083261	0.10655516	0.21767053	-0.109587885	0.19019704	-0.17484933	0.13644975	-0.11315139	0.05710036	0.23317154	-0.13396461	0.19516453	-0.09275241
-0.25606975	-0.23456389	0.2037724	0.3190374	-0.16902216	-0.21612713	0.19958791	-0.14937222	0.21852152	-0.25782716	0.2708038	-0.09589808	-0.34462187	0.15037753	-0.263593	0.0062829526
-0.014768967	0.012160783	-0.0065024444	-0.025411705	0.01741165	0.017962193	0.013099055	0.036512833	0.002962503	-0.00686787	0.028519586	-0.054377105	-0.038035456	-0.038253028	-0.025186235	-0.02821577
0.035304956	-0.0013183731	-0.01835536	-0.041529965	0.03165007	0.030968215	0.004103579	0.032021448	-0.06723649	-0.02055419	0.00406209	-0.073109	0.07738952	-0.05710918	0.0493903	-0.042011566
-0.059373464	-0.08182484	0.041150045	0.039844934	-0.10758079	-0.033176802	0.1207869	-0.13992894	0.090435386	-0.05720812	0.06374874	-0.028436542	-0.06646053	0.09443865	-0.0331662	0.029909639
0.107632376	0.030645043	-0.035119124	-0.109018974	0.06976314	0.012535886	0.00013173308	-0.018396465	0.0014288479	0.011338828	0.060117785	-0.01488753	0.037159566	-0.059271496	0.10930911	0.041001465
